Schedule 5433 Percent Recoveries From 2017-01-01 to 2018-01-01 PSPK,,,,,,,,,,,,,,,,,,,,,,,,
Note. Confidence limits calculated below are not official control limits.,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Analyte ID,Units,Mean,Variance,Standard Deviation,Relative Standard Deviation,Count,Minimum,Maximum,Median,First Quartile,Third Quartile,Relative Interquartile Range,F-Pseudosigma,Half percentile,Two and a half-percentile,Ninety-seven and a half-percentile,Ninety-nine and a half-percentile,Total,Upper 99% Confidence Limit,Lower 99% Confidence Limit,Upper 95% Confidence Limit,Lower 95% Confidence Limit,Basis of Limits
Menthol,63215GM008,pct,79,95,9.7,12,38,64,99,78,72,87,19,11,,,,,3001,108,50,98,60,3s
Metolachlor,63218GM008,pct,95,67,8.2,9,38,82,113,94,89,100,11,8.1,,,,,3596,119,70,111,78,3s
"N,N-diethyl-meta-toluamide  (DEET)",63219GM008,pct,103,61,7.8,8,38,89,117,102,98,109,10,8.0,,,,,3920,126,80,119,88,3s
Naphthalene,63220GM008,pct,78,89,9.4,12,38,56,94,78,71,85,18,10,,,,,2963,106,50,97,59,3s
p-Cresol,63222GM008,pct,99,163,12.8,13,38,81,127,98,88,107,18,13,,,,,3758,137,61,124,73,3s
Phenanthrene,63224GM008,pct,88,70,8.4,10,38,73,104,88,82,95,14,9.4,,,,,3352,113,63,105,71,3s
Phenol,63225GM008,pct,167,901,30.0,18,38,120,233,160,146,187,25,30,,,,,6337,257,77,227,107,3s
Prometon,63226GM008,pct,82,489,22.1,27,38,24,112,86,72,96,26,17,,,,,3098,148,15,126,37,3s
Pyrene,63227GM008,pct,91,80,8.9,10,38,75,107,92,83,96,14,9.7,,,,,3449,118,64,109,73,3s
Tributyl phosphate,63231GM008,pct,99,66,8.1,8,14,86,114,96,95,103,8.3,5.9,,,,,1385,123,75,115,83,3s
Triclosan,63232GM008,pct,91,80,8.9,10,38,75,108,91,84,98,14,9.8,,,,,3469,118,65,109,73,3s
Triphenyl phosphate,63234GM008,pct,29,118,10.8,38,38,12,49,29,20,38,64,13,,,,,1098,61,-4,51,7,3s
Tris(2-butoxyethyl)phosphate,63229GM008,pct,73,719,26.8,37,38,5,103,80,59,96,45,27,,,,,2763,153,-8,126,19,3s
Tris(2-chloroethyl)phosphate,63230GM008,pct,63,148,12.1,19,38,43,84,63,50,73,35,16,,,,,2382,99,26,87,38,3s
Tris(dichloroisopropyl)phosphate,63235GM008,pct,20,77,8.8,44,38,6,39,19,12,27,79,11,,,,,753,46,-7,37,2,3s
