compound,P.IN.CCD,P.IN.CCU,P.IN.IHC,P.IN.PBW,P.MI.BAR,P.MI.BCK,P.MI.CLT,P.MI.CRM,P.MI.GRE,P.MI.IND,P.MI.LRB,P.MI.LRH,P.MI.LRW,P.MI.NBC,P.MI.PEA,P.MI.PLS,P.MI.RRB,P.MI.RRD,P.MI.RRR,P.MI.RRS,P.MI.SAG,P.MI.SJO,P.MI.TBC,P.MN.SLR,P.NY.ACR,P.NY.CCI,P.NY.GBF,P.NY.GRF,P.NY.HBK,P.NY.ICB,P.NY.ICR,P.NY.LEY,P.NY.NCG,P.NY.SCH,P.NY.TCR,P.OH.CRI,P.OH.CRM,P.OH.CRP,P.OH.EBR,P.OH.MRW,P.OH.RRB,P.OH.RRS,P.OH.SCE,P.OH.SCO,P.OH.SCT,P.OH.TCD,P.OH.WBR,P.OH.WCI,P.WI.ACA,P.WI.BRO,P.WI.ERG,P.WI.GCK,P.WI.KKL,P.WI.LML,P.WI.MAM,P.WI.MEB,P.WI.MEC,P.WI.MEF,P.WI.MER,P.WI.MET,P.WI.MIE,P.WI.MIM,P.WI.MIP,P.WI.NRL,P.WI.OCM,P.WI.RRC,P.WI.RRL,P.WI.RRR,P.WI.UCJ,P.WI.WMC
OH-MRW,0.00580115,4.19E-05,0.000521134,2.84E-05,0.001614769,0.007355029,0.002992864,0.00580115,1.30E-10,1.29E-07,0.000331668,0.075362335,0.008239769,0.100602632,0.015317329,0.01259303,0.00654349,0.00654349,0.001143105,0.00580115,0.000152674,0.000521134,0.008239769,0.118175957,0.00654349,0.007355029,0.007355029,0.000152674,0.010245194,0.007355029,0.010245194,0.01259303,0.000152674,0.005124082,0.007355029,0.008239769,9.54E-07,0.015317329,0.265238787,NA,0.879918579,0.00920178,0.095157367,0.030675895,0.007355029,0.075362335,0.456800853,0.020185499,0.000331668,0.014121331,0.000152674,0.000521134,0.010245194,0.000152674,0.007355029,0.011374199,0.007355029,0.000331668,0.00654349,0.020185499,0.015317329,0.002223135,0.000642826,0.000521134,0.01259303,0.000259812,0.001143105,0.000951363,0.010245194,0.011374199
OH-RRB,0.151735036,0.354147641,0.64879571,0.541935886,0.080019376,0.166699988,0.05484212,0.062511483,0.795414502,0.812182698,0.208063464,0.004508435,0.208063464,0.001614769,0.470531995,0.070894318,0.166699988,0.166699988,0.307909876,0.190835874,0.307909876,0.602099428,0.182563979,0.010245194,0.235621004,0.255137752,0.235621004,0.307909876,0.166699988,0.159105769,0.024003191,0.182563979,0.633090681,0.13094807,0.159105769,0.255137752,1,0.070894318,8.37E-05,0.879918579,NA,0.124454791,0.00654349,0.007355029,0.159105769,0.003950449,0.000200713,0.106252372,0.366251461,0.081156621,0.391096771,0.199335495,0.296904116,0.307909876,0.028319671,0.112109291,0.159105769,0.255137752,0.182563979,0.166699988,0.275567451,0.151735036,0.275567451,0.330589259,0.182563979,0.456800853,0.151735036,0.245265001,0.13094807,0.038588453
OH-RRS,9.54E-07,0.000951363,0.001363315,0.015317329,0.004508435,2.04E-06,0.001143105,0.000951363,0.008239769,0.01259303,0.001614769,0.001143105,1.86E-05,0.002586215,8.37E-05,6.00E-05,3.88E-07,3.88E-07,0.028319671,1.29E-07,0.015317329,0.000200713,3.93E-06,0.008239769,9.54E-07,3.93E-06,1.17E-05,0.015317329,9.54E-07,1.29E-07,0.000951363,6.99E-06,0.026096891,3.88E-07,1.29E-07,6.99E-06,0.011374199,8.37E-05,0.00654349,0.00920178,0.124454791,NA,0.000785442,0.000259812,1.29E-07,0.001143105,0.026096891,4.12E-09,0.038588453,0.003041093,0.00920178,0.024003191,1.17E-05,1.86E-05,6.00E-05,3.93E-06,1.29E-07,0.011374199,3.09E-08,6.00E-05,4.19E-05,4.19E-05,0.002223135,0.022034191,6.99E-06,0.001614769,0.000521134,0.026096891,9.54E-07,0.000200713
OH-SCE,0.000152674,0.007355029,0.033169901,0.106252372,0.001614769,0.000951363,0.000785442,0.002992864,0.080019376,0.118175957,0.002586215,4.12E-09,0.000642826,3.88E-07,0.011374199,0.000152674,0.000521134,0.000521134,0.062511483,0.000785442,0.035805997,0.026096891,0.000785442,0.000642826,0.001614769,0.001614769,0.000951363,0.035805997,0.001143105,0.000642826,0.000114134,0.001614769,0.137657916,0.002223135,0.000642826,0.002223135,0.144586301,0.000418118,1.86E-05,0.095157367,0.00654349,0.000785442,NA,3.93E-06,0.000642826,3.88E-07,0.000200713,0.000152674,0.084868771,0.000379136,0.066611882,0.033169901,0.004508435,0.002586215,0.000331668,0.000785442,0.000642826,0.022034191,0.000951363,0.002992864,0.005124082,0.001900368,0.030675895,0.058589475,0.001614769,0.033169901,0.002992864,0.05126559,0.000951363,0.000418118
OH-SCO,0.000152674,0.001614769,0.033169901,0.013905969,2.84E-05,0.000259812,2.04E-06,1.86E-05,0.028319671,0.030675895,0.000152674,3.93E-06,0.001614769,3.88E-07,0.013905969,4.19E-05,0.000259812,0.000259812,0.003950449,0.000331668,0.002992864,0.018452718,0.000785442,0.002586215,0.001143105,0.001900368,0.001900368,0.002992864,0.000521134,0.000200713,1.29E-07,0.001363315,0.016831456,0.000200713,0.000200713,0.002586215,0.038588453,6.99E-06,2.84E-05,0.030675895,0.007355029,0.000259812,3.93E-06,NA,0.000200713,4.12E-09,0.001614769,0.000200713,0.008239769,0.000966981,0.00580115,0.001900368,0.005124082,0.000521134,3.93E-06,4.19E-05,0.000200713,0.001143105,0.000259812,0.002223135,0.007355029,8.37E-05,0.001363315,0.003950449,0.001363315,0.002992864,0.000152674,0.002992864,0.000114134,9.54E-07
OH-SCT,4.12E-09,0.000521134,0.000521134,0.010245194,0.002223135,1.29E-07,0.000521134,0.000642826,0.00920178,0.007355029,0.000331668,0.001143105,2.04E-06,0.001900368,8.37E-05,1.17E-05,1.30E-10,1.30E-10,0.020185499,4.12E-09,0.00920178,0.000200713,3.09E-08,0.011374199,3.88E-07,3.93E-06,3.93E-06,0.00920178,1.30E-10,0,0.000521134,3.09E-08,0.016831456,3.09E-08,0,2.04E-06,0.007355029,6.99E-06,0.010245194,0.007355029,0.159105769,1.29E-07,0.000642826,0.000200713,NA,0.000642826,0.041521494,9.54E-07,0.026096891,0.000966981,0.00580115,0.016831456,6.99E-06,2.04E-06,0.000152674,1.29E-07,0,0.004508435,1.30E-10,9.54E-07,6.99E-06,9.54E-07,0.000785442,0.011374199,3.09E-08,0.000331668,0.000152674,0.016831456,1.30E-10,2.84E-05
OH-TCD,0.000418118,0.005124082,0.05126559,0.038588453,0.000200713,0.000951363,4.19E-05,0.000259812,0.070894318,0.075362335,0.000642826,3.88E-07,0.002586215,4.12E-09,0.024003191,0.000152674,0.000785442,0.000785442,0.013905969,0.001143105,0.00920178,0.038588453,0.001614769,0.001363315,0.002992864,0.003950449,0.00344645,0.00920178,0.001143105,0.000642826,3.93E-06,0.002223135,0.047855977,0.000951363,0.000642826,0.005124082,0.095157367,4.19E-05,3.93E-06,0.075362335,0.003950449,0.001143105,3.88E-07,4.12E-09,0.000642826,NA,0.000642826,0.000521134,0.024003191,0.00065343,0.018452718,0.00654349,0.00920178,0.002223135,6.00E-05,0.000200713,0.000642826,0.003950449,0.000951363,0.002992864,0.010245194,0.000418118,0.00580115,0.01259303,0.002223135,0.010245194,0.000951363,0.010245194,0.000418118,1.17E-05
OH-WBR,0.024003191,0.106252372,0.226206045,0.429918785,0.035805997,0.047855977,0.026096891,0.047855977,0.366251461,0.527302354,0.075362335,8.37E-05,0.033169901,0.000200713,0.137657916,0.016831456,0.038588453,0.038588453,0.296904116,0.044609296,0.208063464,0.208063464,0.041521494,0.000951363,0.05484212,0.047855977,0.038588453,0.208063464,0.047855977,0.041521494,0.008239769,0.05126559,0.556737056,0.05484212,0.041521494,0.058589475,0.64879571,0.030675895,6.00E-05,0.456800853,0.000200713,0.026096891,0.000200713,0.001614769,0.041521494,0.000642826,NA,0.01259303,0.342259529,0.010405413,0.319138786,0.166699988,0.075362335,0.084868771,0.008239769,0.041521494,0.041521494,0.182563979,0.047855977,0.062511483,0.075362335,0.066611882,0.235621004,0.307909876,0.05126559,0.307909876,0.070894318,0.245265001,0.047855977,0.022034191
OH-WCI,9.54E-07,0.001363315,0.002586215,0.035805997,0.00654349,1.17E-05,0.001900368,0.002586215,0.016831456,0.033169901,0.002223135,0.000331668,1.86E-05,0.001363315,0.000152674,0.000114134,2.04E-06,2.04E-06,0.05484212,9.54E-07,0.026096891,0.000642826,1.17E-05,0.004508435,3.93E-06,3.93E-06,1.17E-05,0.026096891,3.93E-06,9.54E-07,0.001143105,1.86E-05,0.058589475,1.17E-05,9.54E-07,1.86E-05,0.028319671,0.000152674,0.00344645,0.020185499,0.106252372,4.12E-09,0.000152674,0.000200713,9.54E-07,0.000521134,0.01259303,NA,0.075362335,0.001641075,0.022034191,0.041521494,2.84E-05,6.00E-05,0.000114134,1.17E-05,9.54E-07,0.020185499,3.88E-07,0.000152674,8.37E-05,0.000152674,0.007355029,0.044609296,1.86E-05,0.005124082,0.001614769,0.05126559,6.99E-06,0.000418118
WI-ACA,0.030675895,0.000951363,0.041521494,2.04E-06,6.00E-05,0.026096891,0.000152674,0.000114134,0.000521134,6.00E-05,0.000259812,0.05484212,0.070894318,0.033169901,0.151735036,0.016831456,0.028319671,0.028319671,4.12E-09,0.033169901,2.04E-06,0.044609296,0.041521494,0.174519008,0.05484212,0.084868771,0.080019376,2.04E-06,0.035805997,0.026096891,0.000785442,0.05126559,1.29E-07,0.010245194,0.026096891,0.075362335,0.000114134,0.010245194,0.112109291,0.000331668,0.366251461,0.038588453,0.084868771,0.008239769,0.026096891,0.024003191,0.342259529,0.075362335,NA,0.043681259,3.93E-06,3.09E-08,0.106252372,0.002992864,0.002586215,0.016831456,0.026096891,2.04E-06,0.030675895,0.05484212,0.118175957,0.002223135,2.84E-05,4.12E-09,0.05126559,0.000114134,0.000521134,1.30E-10,0.018452718,0.002586215
WI-BRO,0.000337176,0.000425046,0.000798367,0.020493925,0.003265289,0.003751169,0.002628008,0.016308778,0.0127887,0.029924191,0.000425046,0.00020406,0.000379136,0.001060959,0.008847731,0.003265289,0.001269916,0.001269916,0.052015142,0.001931245,0.005893287,0.005205708,0.001060959,5.12E-05,0.002438263,0.000798367,0.00065343,0.005893287,0.000589078,0.000966981,0.001931245,0.000475163,0.059439375,0.003041093,0.000966981,0.002090287,0.039161355,0.002090287,0.004290027,0.014121331,0.081156621,0.003041093,0.000379136,0.000966981,0.000966981,0.00065343,0.010405413,0.001641075,0.043681259,NA,0.014824798,0.014121331,0.002090287,0.000723093,0.001781636,0.001385583,0.000966981,0.005205708,0.001509181,0.000723093,0.000879558,0.000966981,0.013442814,0.025413368,0.000475163,0.00986519,0.008847731,0.033666023,0.001641075,0.001509181
WI-ERG,0.011374199,4.19E-05,0.011374199,1.30E-10,0.000331668,0.01259303,0.000152674,0.000200713,0.000259812,0.000114134,4.19E-05,0.047855977,0.035805997,0.038588453,0.080019376,0.018452718,0.010245194,0.010245194,6.99E-06,0.011374199,3.09E-08,0.016831456,0.018452718,0.100602632,0.022034191,0.028319671,0.038588453,3.09E-08,0.00654349,0.00580115,0.000951363,0.01259303,3.88E-07,0.001363315,0.00580115,0.035805997,4.19E-05,0.003950449,0.095157367,0.000152674,0.391096771,0.00920178,0.066611882,0.00580115,0.00580115,0.018452718,0.319138786,0.022034191,3.93E-06,0.014824798,NA,2.04E-06,0.041521494,0.000331668,0.000521134,0.002586215,0.00580115,3.88E-07,0.00654349,0.015317329,0.041521494,0.000152674,1.29E-07,1.29E-07,0.01259303,9.54E-07,0.001143105,2.04E-06,0.00344645,0.000785442
WI-GCK,0.018452718,0.000259812,0.038588453,3.93E-06,3.93E-06,0.018452718,1.17E-05,6.00E-05,0.000642826,0.000331668,2.84E-05,0.020185499,0.05126559,0.011374199,0.137657916,0.011374199,0.020185499,0.020185499,1.29E-07,0.022034191,3.09E-08,0.038588453,0.033169901,0.075362335,0.038588453,0.05126559,0.05484212,3.09E-08,0.024003191,0.016831456,0.000152674,0.038588453,6.99E-06,0.00654349,0.016831456,0.058589475,0.000642826,0.003950449,0.041521494,0.000521134,0.199335495,0.024003191,0.033169901,0.001900368,0.016831456,0.00654349,0.166699988,0.041521494,3.09E-08,0.014121331,2.04E-06,NA,0.080019376,0.001614769,0.000642826,0.007355029,0.016831456,3.09E-08,0.018452718,0.044609296,0.095157367,0.000951363,1.86E-05,3.09E-08,0.038588453,0.000152674,0.000418118,4.12E-09,0.011374199,0.000642826
WI-KKL,3.93E-06,0.00580115,0.000114134,0.047855977,0.018452718,2.04E-06,0.011374199,0.016831456,0.01259303,0.013905969,0.00654349,0.00654349,1.29E-07,0.01259303,3.09E-08,0.000114134,2.04E-06,2.04E-06,0.106252372,3.88E-07,0.05484212,9.54E-07,9.54E-07,0.008239769,4.12E-09,4.12E-09,4.12E-09,0.05484212,1.17E-05,6.99E-06,0.015317329,6.99E-06,0.080019376,8.37E-05,6.99E-06,1.30E-10,0.024003191,0.000418118,0.030675895,0.010245194,0.296904116,1.17E-05,0.004508435,0.005124082,6.99E-06,0.00920178,0.075362335,2.84E-05,0.106252372,0.002090287,0.041521494,0.080019376,NA,0.000259812,0.00654349,0.000114134,6.99E-06,0.035805997,2.04E-06,2.84E-05,3.09E-08,0.000785442,0.013905969,0.075362335,6.99E-06,0.00920178,0.001900368,0.095157367,4.19E-05,0.002223135
WI-LML,2.04E-06,9.54E-07,0.000152674,0.000521134,0.000259812,2.84E-05,8.37E-05,0.000259812,0.000200713,0.000331668,3.93E-06,0.002992864,6.00E-05,0.00580115,0.001143105,0.000152674,3.93E-06,3.93E-06,0.002992864,6.99E-06,0.000418118,0.000152674,1.86E-05,0.024003191,4.19E-05,8.37E-05,8.37E-05,0.000418118,6.99E-06,2.04E-06,0.000200713,2.84E-05,0.001614769,3.93E-06,2.04E-06,0.000114134,0.000259812,0.000114134,0.033169901,0.000152674,0.307909876,1.86E-05,0.002586215,0.000521134,2.04E-06,0.002223135,0.084868771,6.00E-05,0.002992864,0.000723093,0.000331668,0.001614769,0.000259812,NA,6.00E-05,1.86E-05,2.04E-06,0.000259812,3.93E-06,0.000152674,0.000331668,3.88E-07,8.37E-05,0.001143105,2.84E-05,1.17E-05,4.19E-05,0.002223135,6.99E-06,8.37E-05
WI-MAM,0.000259812,0.000114134,0.011374199,0.001614769,0.000114134,0.000785442,6.99E-06,6.99E-06,0.005124082,0.008239769,0.000114134,0.000152674,0.002586215,0.000200713,0.020185499,0.000521134,0.000331668,0.000331668,0.001614769,0.000521134,0.000521134,0.011374199,0.000951363,0.00580115,0.001900368,0.002992864,0.00344645,0.000521134,0.000259812,0.000152674,9.54E-07,0.000785442,0.003950449,2.84E-05,0.000152674,0.003950449,0.007355029,0.000259812,0.000951363,0.007355029,0.028319671,6.00E-05,0.000331668,3.93E-06,0.000152674,6.00E-05,0.008239769,0.000114134,0.002586215,0.001781636,0.000521134,0.000642826,0.00654349,6.00E-05,NA,0.000114134,0.000152674,0.000521134,0.000259812,0.001614769,0.00654349,1.86E-05,0.000200713,0.001143105,0.000785442,0.000418118,0.000259812,0.000951363,0.000114134,1.86E-05
WI-MEB,3.93E-06,0.000642826,0.004508435,0.00654349,0.000951363,2.04E-06,0.000114134,0.000259812,0.015317329,0.01259303,0.000114134,0.001614769,0.000152674,0.001363315,0.000642826,6.00E-05,2.04E-06,2.04E-06,0.00920178,9.54E-07,0.003950449,0.001143105,2.84E-05,0.01259303,1.17E-05,2.84E-05,0.000114134,0.003950449,9.54E-07,1.29E-07,0.000259812,1.86E-05,0.010245194,3.88E-07,1.29E-07,8.37E-05,0.011374199,3.09E-08,0.005124082,0.011374199,0.112109291,3.93E-06,0.000785442,4.19E-05,1.29E-07,0.000200713,0.041521494,1.17E-05,0.016831456,0.001385583,0.002586215,0.007355029,0.000114134,1.86E-05,0.000114134,NA,1.29E-07,0.001363315,3.09E-08,6.00E-05,0.000259812,3.88E-07,0.000200713,0.005124082,1.86E-05,0.000200713,0.000200713,0.008239769,4.12E-09,9.54E-07
WI-MEC,4.12E-09,0.000521134,0.000521134,0.010245194,0.002223135,1.29E-07,0.000521134,0.000642826,0.00920178,0.007355029,0.000331668,0.001143105,2.04E-06,0.001900368,8.37E-05,1.17E-05,1.30E-10,1.30E-10,0.020185499,4.12E-09,0.00920178,0.000200713,3.09E-08,0.011374199,3.88E-07,3.93E-06,3.93E-06,0.00920178,1.30E-10,0,0.000521134,3.09E-08,0.016831456,3.09E-08,0,2.04E-06,0.007355029,6.99E-06,0.010245194,0.007355029,0.159105769,1.29E-07,0.000642826,0.000200713,0,0.000642826,0.041521494,9.54E-07,0.026096891,0.000966981,0.00580115,0.016831456,6.99E-06,2.04E-06,0.000152674,1.29E-07,NA,0.004508435,1.30E-10,9.54E-07,6.99E-06,9.54E-07,0.000785442,0.011374199,3.09E-08,0.000331668,0.000152674,0.016831456,1.30E-10,2.84E-05
WI-MEF,0.00580115,4.19E-05,0.016831456,2.04E-06,3.93E-06,0.00654349,3.93E-06,6.00E-05,0.000642826,0.000259812,3.88E-07,0.016831456,0.022034191,0.010245194,0.070894318,0.00580115,0.00654349,0.00654349,2.04E-06,0.007355029,4.12E-09,0.018452718,0.01259303,0.066611882,0.015317329,0.020185499,0.024003191,4.12E-09,0.00654349,0.004508435,0.000114134,0.01259303,6.99E-06,0.001900368,0.004508435,0.026096891,0.000331668,0.000785442,0.044609296,0.000331668,0.255137752,0.011374199,0.022034191,0.001143105,0.004508435,0.003950449,0.182563979,0.020185499,2.04E-06,0.005205708,3.88E-07,3.09E-08,0.035805997,0.000259812,0.000521134,0.001363315,0.004508435,NA,0.005124082,0.015317329,0.041521494,8.37E-05,9.54E-07,3.09E-08,0.01259303,6.99E-06,0.000200713,3.88E-07,0.002586215,0.000114134
WI-MER,3.09E-08,0.000642826,0.000785442,0.011374199,0.002586215,3.09E-08,0.000642826,0.000951363,0.008239769,0.008239769,0.000418118,0.001900368,3.93E-06,0.002992864,2.84E-05,1.86E-05,4.12E-09,4.12E-09,0.022034191,1.30E-10,0.010245194,8.37E-05,3.88E-07,0.01259303,3.09E-08,3.88E-07,2.04E-06,0.010245194,3.09E-08,1.30E-10,0.000951363,9.54E-07,0.018452718,1.29E-07,1.30E-10,9.54E-07,0.008239769,3.93E-06,0.011374199,0.00654349,0.182563979,3.09E-08,0.000951363,0.000259812,1.30E-10,0.000951363,0.047855977,3.88E-07,0.030675895,0.001509181,0.00654349,0.018452718,2.04E-06,3.93E-06,0.000259812,3.09E-08,1.30E-10,0.005124082,NA,1.17E-05,1.17E-05,3.93E-06,0.000951363,0.013905969,9.54E-07,0.000521134,0.000200713,0.020185499,4.12E-09,4.19E-05
WI-MET,6.99E-06,0.00344645,0.000152674,0.022034191,0.01259303,4.19E-05,0.005124082,0.005124082,0.026096891,0.013905969,0.002992864,0.002992864,6.99E-06,0.004508435,0.000331668,0.000200713,2.04E-06,2.04E-06,0.058589475,1.86E-05,0.026096891,0.000642826,3.88E-07,0.007355029,4.19E-05,0.000114134,4.19E-05,0.026096891,3.09E-08,9.54E-07,0.003950449,1.30E-10,0.041521494,6.99E-06,9.54E-07,1.86E-05,0.018452718,0.000331668,0.018452718,0.020185499,0.166699988,6.00E-05,0.002992864,0.002223135,9.54E-07,0.002992864,0.062511483,0.000152674,0.05484212,0.000723093,0.015317329,0.044609296,2.84E-05,0.000152674,0.001614769,6.00E-05,9.54E-07,0.015317329,1.17E-05,NA,3.88E-07,4.19E-05,0.00344645,0.028319671,1.30E-10,0.001614769,0.001614769,0.041521494,2.04E-06,0.000418118
WI-MIE,6.99E-06,0.00580115,1.86E-05,0.047855977,0.028319671,2.84E-05,0.016831456,0.022034191,0.018452718,0.016831456,0.008239769,0.00580115,1.29E-07,0.01259303,3.93E-06,0.000331668,3.93E-06,3.93E-06,0.13094807,6.99E-06,0.058589475,1.86E-05,3.88E-07,0.005124082,2.04E-06,2.04E-06,3.88E-07,0.058589475,2.04E-06,6.99E-06,0.016831456,1.29E-07,0.089913736,8.37E-05,6.99E-06,1.29E-07,0.026096891,0.001143105,0.033169901,0.015317329,0.275567451,4.19E-05,0.005124082,0.007355029,6.99E-06,0.010245194,0.075362335,8.37E-05,0.118175957,0.000879558,0.041521494,0.095157367,3.09E-08,0.000331668,0.00654349,0.000259812,6.99E-06,0.041521494,1.17E-05,3.88E-07,NA,0.000642826,0.015317329,0.080019376,1.29E-07,0.008239769,0.003950449,0.106252372,4.19E-05,0.002992864
WI-MIM,1.17E-05,4.19E-05,0.001614769,0.000521134,0.000152674,2.84E-05,1.17E-05,2.84E-05,0.00344645,0.001614769,3.93E-06,0.002223135,0.000331668,0.001900368,0.003950449,0.000114134,6.99E-06,6.99E-06,0.001614769,1.86E-05,0.000331668,0.001614769,4.19E-05,0.022034191,0.000152674,0.000418118,0.000521134,0.000331668,2.04E-06,9.54E-07,4.19E-05,1.86E-05,0.001363315,1.29E-07,9.54E-07,0.000418118,0.001614769,3.93E-06,0.01259303,0.002223135,0.151735036,4.19E-05,0.001900368,8.37E-05,9.54E-07,0.000418118,0.066611882,0.000152674,0.002223135,0.000966981,0.000152674,0.000951363,0.000785442,3.88E-07,1.86E-05,3.88E-07,9.54E-07,8.37E-05,3.93E-06,4.19E-05,0.000642826,NA,3.93E-06,0.000418118,1.86E-05,2.04E-06,2.84E-05,0.000951363,1.29E-07,3.88E-07
WI-MIP,0.002586215,0.000152674,0.010245194,2.04E-06,0.000114134,0.001614769,1.86E-05,1.17E-05,0.001363315,0.000200713,1.86E-05,0.026096891,0.01259303,0.015317329,0.033169901,0.002992864,0.001614769,0.001614769,1.86E-05,0.001900368,6.99E-06,0.008239769,0.003950449,0.095157367,0.005124082,0.010245194,0.013905969,6.99E-06,0.001143105,0.000785442,0.000259812,0.002992864,6.99E-06,8.37E-05,0.000785442,0.010245194,0.000200713,0.000259812,0.05126559,0.000642826,0.275567451,0.002223135,0.030675895,0.001363315,0.000785442,0.00580115,0.235621004,0.007355029,2.84E-05,0.013442814,1.29E-07,1.86E-05,0.013905969,8.37E-05,0.000200713,0.000200713,0.000785442,9.54E-07,0.000951363,0.00344645,0.015317329,3.93E-06,NA,9.54E-07,0.002992864,3.09E-08,8.37E-05,6.99E-06,0.000259812,2.84E-05
WI-NRL,0.016831456,0.000331668,0.033169901,3.88E-07,4.19E-05,0.015317329,4.19E-05,4.19E-05,0.000951363,0.000152674,4.19E-05,0.041521494,0.05126559,0.024003191,0.118175957,0.01259303,0.015317329,0.015317329,4.12E-09,0.018452718,1.29E-07,0.038588453,0.026096891,0.144586301,0.035805997,0.05484212,0.058589475,1.29E-07,0.015317329,0.011374199,0.000331668,0.026096891,3.09E-08,0.003950449,0.011374199,0.05484212,0.000114134,0.00344645,0.084868771,0.000521134,0.330589259,0.022034191,0.058589475,0.003950449,0.011374199,0.01259303,0.307909876,0.044609296,4.12E-09,0.025413368,1.29E-07,3.09E-08,0.075362335,0.001143105,0.001143105,0.005124082,0.011374199,3.09E-08,0.013905969,0.028319671,0.080019376,0.000418118,9.54E-07,NA,0.026096891,6.99E-06,0.000418118,1.30E-10,0.00654349,0.000642826
WI-OCM,3.88E-07,0.001363315,8.37E-05,0.018452718,0.00920178,1.17E-05,0.00344645,0.003950449,0.015317329,0.011374199,0.001614769,0.001900368,9.54E-07,0.003950449,0.000114134,0.000114134,1.29E-07,1.29E-07,0.05126559,2.04E-06,0.020185499,0.000259812,3.09E-08,0.00654349,6.99E-06,1.86E-05,6.99E-06,0.020185499,1.30E-10,3.09E-08,0.002586215,0,0.035805997,2.04E-06,3.09E-08,3.93E-06,0.01259303,0.000200713,0.016831456,0.01259303,0.182563979,6.99E-06,0.001614769,0.001363315,3.09E-08,0.002223135,0.05126559,1.86E-05,0.05126559,0.000475163,0.01259303,0.038588453,6.99E-06,2.84E-05,0.000785442,1.86E-05,3.09E-08,0.01259303,9.54E-07,1.30E-10,1.29E-07,1.86E-05,0.002992864,0.026096891,NA,0.001143105,0.001143105,0.038588453,3.88E-07,0.000331668
WI-RRC,0.001143105,2.84E-05,0.00344645,3.93E-06,0.000418118,0.001363315,0.000114134,8.37E-05,0.000642826,0.000114134,1.17E-05,0.030675895,0.00654349,0.026096891,0.018452718,0.00344645,0.000785442,0.000785442,8.37E-05,0.001143105,1.86E-05,0.005124082,0.001900368,0.112109291,0.00344645,0.00654349,0.008239769,1.86E-05,0.000418118,0.000331668,0.000521134,0.001143105,6.99E-06,8.37E-05,0.000331668,0.00654349,1.86E-05,0.000521134,0.095157367,0.000259812,0.456800853,0.001614769,0.033169901,0.002992864,0.000331668,0.010245194,0.307909876,0.005124082,0.000114134,0.00986519,9.54E-07,0.000152674,0.00920178,1.17E-05,0.000418118,0.000200713,0.000331668,6.99E-06,0.000521134,0.001614769,0.008239769,2.04E-06,3.09E-08,6.99E-06,0.001143105,NA,0.000200713,6.00E-05,0.000152674,0.000152674
WI-RRL,0.000114134,0.000951363,0.00654349,0.001614769,3.93E-06,1.86E-05,3.93E-06,3.93E-06,0.001900368,0.000259812,6.00E-05,0.002992864,0.000642826,0.001363315,0.005124082,2.04E-06,6.00E-05,6.00E-05,0.000521134,8.37E-05,0.001143105,0.001363315,0.000152674,0.05484212,0.000259812,0.001614769,0.000785442,0.001143105,0.000642826,0.000152674,4.19E-05,0.001143105,0.001363315,6.00E-05,0.000152674,0.000521134,0.001900368,2.84E-05,0.016831456,0.001143105,0.151735036,0.000521134,0.002992864,0.000152674,0.000152674,0.000951363,0.070894318,0.001614769,0.000521134,0.008847731,0.001143105,0.000418118,0.001900368,4.19E-05,0.000259812,0.000200713,0.000152674,0.000200713,0.000200713,0.001614769,0.003950449,2.84E-05,8.37E-05,0.000418118,0.001143105,0.000200713,NA,0.000331668,0.000114134,1.17E-05
WI-RRR,0.022034191,0.000785442,0.05126559,3.93E-06,1.86E-05,0.018452718,2.84E-05,1.86E-05,0.001363315,0.000259812,0.000114134,0.033169901,0.062511483,0.016831456,0.144586301,0.011374199,0.020185499,0.020185499,1.30E-10,0.024003191,9.54E-07,0.05126559,0.033169901,0.137657916,0.044609296,0.070894318,0.070894318,9.54E-07,0.024003191,0.016831456,0.000200713,0.038588453,3.88E-07,0.00580115,0.016831456,0.066611882,0.000331668,0.004508435,0.062511483,0.000951363,0.245265001,0.026096891,0.05126559,0.002992864,0.016831456,0.010245194,0.245265001,0.05126559,1.30E-10,0.033666023,2.04E-06,4.12E-09,0.095157367,0.002223135,0.000951363,0.008239769,0.016831456,3.88E-07,0.020185499,0.041521494,0.106252372,0.000951363,6.99E-06,1.30E-10,0.038588453,6.00E-05,0.000331668,NA,0.010245194,0.000785442
WI-UCJ,3.88E-07,0.000785442,0.001614769,0.007355029,0.001614769,3.88E-07,0.000259812,0.000259812,0.013905969,0.008239769,0.000259812,0.001614769,2.84E-05,0.001614769,0.000331668,1.86E-05,3.09E-08,3.09E-08,0.01259303,1.29E-07,0.00654349,0.000642826,9.54E-07,0.015317329,3.93E-06,2.84E-05,4.19E-05,0.00654349,4.12E-09,1.30E-10,0.000331668,3.88E-07,0.011374199,4.12E-09,1.30E-10,1.86E-05,0.008239769,9.54E-07,0.008239769,0.010245194,0.13094807,9.54E-07,0.000951363,0.000114134,1.30E-10,0.000418118,0.047855977,6.99E-06,0.018452718,0.001641075,0.00344645,0.011374199,4.19E-05,6.99E-06,0.000114134,4.12E-09,1.30E-10,0.002586215,4.12E-09,2.04E-06,4.19E-05,1.29E-07,0.000259812,0.00654349,3.88E-07,0.000152674,0.000114134,0.010245194,NA,3.93E-06
