compound,P.IN.CCD,P.IN.CCU,P.IN.IHC,P.IN.PBW,P.MI.BAR,P.MI.BCK,P.MI.CLT,P.MI.CRM,P.MI.GRE,P.MI.IND,P.MI.LRB,P.MI.LRH,P.MI.LRW,P.MI.NBC,P.MI.PEA,P.MI.PLS,P.MI.RRB,P.MI.RRD,P.MI.RRR,P.MI.RRS,P.MI.SAG,P.MI.SJO,P.MI.TBC,P.MN.SLR,P.NY.ACR,P.NY.CCI,P.NY.GBF,P.NY.GRF,P.NY.HBK,P.NY.ICB,P.NY.ICR,P.NY.LEY,P.NY.NCG,P.NY.SCH,P.NY.TCR,P.OH.CRI,P.OH.CRM,P.OH.CRP,P.OH.EBR,P.OH.MRW,P.OH.RRB,P.OH.RRS,P.OH.SCE,P.OH.SCO,P.OH.SCT,P.OH.TCD,P.OH.WBR,P.OH.WCI,P.WI.ACA,P.WI.BRO,P.WI.ERG,P.WI.GCK,P.WI.KKL,P.WI.LML,P.WI.MAM,P.WI.MEB,P.WI.MEC,P.WI.MEF,P.WI.MER,P.WI.MET,P.WI.MIE,P.WI.MIM,P.WI.MIP,P.WI.NRL,P.WI.OCM,P.WI.RRC,P.WI.RRL,P.WI.RRR,P.WI.UCJ,P.WI.WMC
MI-SJO,0.000114134,0.002223135,1.17E-05,0.013905969,0.013905969,6.00E-05,0.01259303,0.020185499,0.000785442,0.001143105,0.004508435,0.028319671,1.86E-05,0.047855977,6.99E-06,0.000785442,8.37E-05,8.37E-05,0.058589475,2.84E-05,0.024003191,NA,6.00E-05,0.028319671,3.93E-06,3.93E-06,3.93E-06,0.024003191,0.000331668,0.000200713,0.026096891,0.000259812,0.030675895,0.000418118,0.000200713,2.04E-06,0.003950449,0.002586215,0.112109291,0.000521134,0.602099428,0.000200713,0.026096891,0.018452718,0.000200713,0.038588453,0.208063464,0.000642826,0.044609296,0.005205708,0.016831456,0.038588453,9.54E-07,0.000152674,0.011374199,0.001143105,0.000200713,0.018452718,8.37E-05,0.000642826,1.86E-05,0.001614769,0.008239769,0.038588453,0.000259812,0.005124082,0.001363315,0.05126559,0.000642826,0.00654349
MI-TBC,4.12E-09,0.001900368,0.000152674,0.024003191,0.003950449,1.29E-07,0.001900368,0.002223135,0.010245194,0.00654349,0.001363315,0.001143105,4.12E-09,0.002223135,1.86E-05,2.04E-06,1.30E-10,1.30E-10,0.041521494,3.09E-08,0.024003191,6.00E-05,NA,0.010245194,1.29E-07,3.93E-06,1.29E-07,0.024003191,1.29E-07,3.09E-08,0.001614769,3.09E-08,0.035805997,3.93E-06,3.09E-08,3.09E-08,0.011374199,8.37E-05,0.015317329,0.008239769,0.182563979,3.93E-06,0.000785442,0.000785442,3.09E-08,0.001614769,0.041521494,1.17E-05,0.041521494,0.001060959,0.018452718,0.033169901,9.54E-07,1.86E-05,0.000951363,2.84E-05,3.09E-08,0.01259303,3.88E-07,3.88E-07,3.88E-07,4.19E-05,0.003950449,0.026096891,3.09E-08,0.001900368,0.000152674,0.033169901,9.54E-07,0.000259812
MN-SLR,0.00654349,0.020185499,0.015317329,0.13094807,0.028319671,0.020185499,0.022034191,0.05484212,0.089913736,0.182563979,0.024003191,0.000152674,0.004508435,0.000785442,0.022034191,0.013905969,0.01259303,0.01259303,0.182563979,0.013905969,0.062511483,0.028319671,0.010245194,NA,0.01259303,0.005124082,0.005124082,0.062511483,0.008239769,0.011374199,0.011374199,0.00654349,0.255137752,0.018452718,0.011374199,0.010245194,0.235621004,0.015317329,0.000259812,0.118175957,0.010245194,0.008239769,0.000642826,0.002586215,0.011374199,0.001363315,0.000951363,0.004508435,0.174519008,5.12E-05,0.100602632,0.075362335,0.008239769,0.024003191,0.00580115,0.01259303,0.011374199,0.066611882,0.01259303,0.007355029,0.005124082,0.022034191,0.095157367,0.144586301,0.00654349,0.112109291,0.05484212,0.137657916,0.015317329,0.01259303
NY-ACR,1.29E-07,0.002586215,0.000418118,0.028319671,0.005124082,4.12E-09,0.002586215,0.003950449,0.008239769,0.008239769,0.001900368,0.002992864,1.29E-07,0.005124082,3.88E-07,6.99E-06,3.09E-08,3.09E-08,0.047855977,1.30E-10,0.028319671,3.93E-06,1.29E-07,0.01259303,NA,4.12E-09,4.12E-09,0.028319671,3.93E-06,3.88E-07,0.003950449,6.99E-06,0.041521494,1.17E-05,3.88E-07,1.30E-10,0.013905969,4.19E-05,0.018452718,0.00654349,0.235621004,9.54E-07,0.001614769,0.001143105,3.88E-07,0.002992864,0.05484212,3.93E-06,0.05484212,0.002438263,0.022034191,0.038588453,4.12E-09,4.19E-05,0.001900368,1.17E-05,3.88E-07,0.015317329,3.09E-08,4.19E-05,2.04E-06,0.000152674,0.005124082,0.035805997,6.99E-06,0.00344645,0.000259812,0.044609296,3.93E-06,0.000418118
NY-CCI,9.54E-07,0.001900368,0.000259812,0.035805997,0.00920178,2.04E-06,0.005124082,0.011374199,0.008239769,0.015317329,0.002223135,0.002992864,3.88E-07,0.007355029,3.88E-07,0.000114134,2.04E-06,2.04E-06,0.075362335,1.29E-07,0.030675895,3.93E-06,3.93E-06,0.005124082,4.12E-09,NA,4.12E-09,0.030675895,1.17E-05,3.93E-06,0.007355029,1.86E-05,0.062511483,8.37E-05,3.93E-06,3.09E-08,0.020185499,0.000152674,0.018452718,0.007355029,0.255137752,3.93E-06,0.001614769,0.001900368,3.93E-06,0.003950449,0.047855977,3.93E-06,0.084868771,0.000798367,0.028319671,0.05126559,4.12E-09,8.37E-05,0.002992864,2.84E-05,3.93E-06,0.020185499,3.88E-07,0.000114134,2.04E-06,0.000418118,0.010245194,0.05484212,1.86E-05,0.00654349,0.001614769,0.070894318,2.84E-05,0.001143105
NY-GBF,1.29E-07,0.002586215,0.000114134,0.044609296,0.007355029,9.54E-07,0.005124082,0.010245194,0.008239769,0.011374199,0.002586215,0.001614769,1.30E-10,0.004508435,3.88E-07,1.86E-05,3.88E-07,3.88E-07,0.080019376,1.29E-07,0.038588453,3.93E-06,1.29E-07,0.005124082,4.12E-09,4.12E-09,NA,0.038588453,1.17E-05,3.93E-06,0.00580115,6.99E-06,0.070894318,0.000114134,3.93E-06,1.30E-10,0.020185499,0.000259812,0.018452718,0.007355029,0.235621004,1.17E-05,0.000951363,0.001900368,3.93E-06,0.00344645,0.038588453,1.17E-05,0.080019376,0.00065343,0.038588453,0.05484212,4.12E-09,8.37E-05,0.00344645,0.000114134,3.93E-06,0.024003191,2.04E-06,4.19E-05,3.88E-07,0.000521134,0.013905969,0.058589475,6.99E-06,0.008239769,0.000785442,0.070894318,4.19E-05,0.001363315
NY-GRF,0.011374199,1.17E-05,0.015317329,1.29E-07,4.19E-05,0.016831456,4.19E-05,0.000259812,0.000200713,0.000259812,3.93E-06,0.024003191,0.035805997,0.020185499,0.100602632,0.016831456,0.013905969,0.013905969,3.93E-06,0.015317329,0,0.024003191,0.024003191,0.062511483,0.028319671,0.030675895,0.038588453,NA,0.011374199,0.00920178,0.000331668,0.020185499,3.93E-06,0.003950449,0.00920178,0.044609296,0.000152674,0.003950449,0.062511483,0.000152674,0.307909876,0.015317329,0.035805997,0.002992864,0.00920178,0.00920178,0.208063464,0.026096891,2.04E-06,0.005893287,3.09E-08,3.09E-08,0.05484212,0.000418118,0.000521134,0.003950449,0.00920178,4.12E-09,0.010245194,0.026096891,0.058589475,0.000331668,6.99E-06,1.29E-07,0.020185499,1.86E-05,0.001143105,9.54E-07,0.00654349,0.000785442
NY-HBK,1.29E-07,0.000642826,0.000259812,0.011374199,0.005124082,3.93E-06,0.001363315,0.001614769,0.01259303,0.010245194,0.000642826,0.001614769,3.93E-06,0.002992864,0.000152674,8.37E-05,3.09E-08,3.09E-08,0.030675895,3.88E-07,0.011374199,0.000331668,1.29E-07,0.008239769,3.93E-06,1.17E-05,1.17E-05,0.011374199,NA,1.30E-10,0.001143105,1.30E-10,0.022034191,1.29E-07,1.30E-10,6.99E-06,0.00920178,4.19E-05,0.01259303,0.010245194,0.166699988,9.54E-07,0.001143105,0.000521134,1.30E-10,0.001143105,0.047855977,3.93E-06,0.035805997,0.000589078,0.00654349,0.024003191,1.17E-05,6.99E-06,0.000259812,9.54E-07,1.30E-10,0.00654349,3.09E-08,3.09E-08,2.04E-06,2.04E-06,0.001143105,0.015317329,1.30E-10,0.000418118,0.000642826,0.024003191,4.12E-09,8.37E-05
NY-ICB,4.12E-09,0.000521134,0.000521134,0.010245194,0.002223135,1.29E-07,0.000521134,0.000642826,0.00920178,0.007355029,0.000331668,0.001143105,2.04E-06,0.001900368,8.37E-05,1.17E-05,1.30E-10,1.30E-10,0.020185499,4.12E-09,0.00920178,0.000200713,3.09E-08,0.011374199,3.88E-07,3.93E-06,3.93E-06,0.00920178,1.30E-10,NA,0.000521134,3.09E-08,0.016831456,3.09E-08,0,2.04E-06,0.007355029,6.99E-06,0.010245194,0.007355029,0.159105769,1.29E-07,0.000642826,0.000200713,0,0.000642826,0.041521494,9.54E-07,0.026096891,0.000966981,0.00580115,0.016831456,6.99E-06,2.04E-06,0.000152674,1.29E-07,0,0.004508435,1.30E-10,9.54E-07,6.99E-06,9.54E-07,0.000785442,0.011374199,3.09E-08,0.000331668,0.000152674,0.016831456,1.30E-10,2.84E-05
NY-ICR,0.000418118,0.000331668,0.028319671,0.002586215,9.54E-07,0.000951363,3.09E-08,3.88E-07,0.00920178,0.008239769,1.86E-05,6.00E-05,0.003950449,1.86E-05,0.033169901,0.000152674,0.000642826,0.000642826,0.000331668,0.001143105,0.000331668,0.026096891,0.001614769,0.011374199,0.003950449,0.007355029,0.00580115,0.000331668,0.001143105,0.000521134,NA,0.002586215,0.002586215,0.000331668,0.000521134,0.007355029,0.00920178,8.37E-05,0.000785442,0.010245194,0.024003191,0.000951363,0.000114134,1.29E-07,0.000521134,3.93E-06,0.008239769,0.001143105,0.000785442,0.001931245,0.000951363,0.000152674,0.015317329,0.000200713,9.54E-07,0.000259812,0.000521134,0.000114134,0.000951363,0.003950449,0.016831456,4.19E-05,0.000259812,0.000331668,0.002586215,0.000521134,4.19E-05,0.000200713,0.000331668,3.93E-06
NY-LEY,3.88E-07,0.001363315,8.37E-05,0.018452718,0.00920178,1.17E-05,0.00344645,0.003950449,0.015317329,0.011374199,0.001614769,0.001900368,9.54E-07,0.003950449,0.000114134,0.000114134,1.29E-07,1.29E-07,0.05126559,2.04E-06,0.020185499,0.000259812,3.09E-08,0.00654349,6.99E-06,1.86E-05,6.99E-06,0.020185499,1.30E-10,3.09E-08,0.002586215,NA,0.035805997,2.04E-06,3.09E-08,3.93E-06,0.01259303,0.000200713,0.016831456,0.01259303,0.182563979,6.99E-06,0.001614769,0.001363315,3.09E-08,0.002223135,0.05126559,1.86E-05,0.05126559,0.000475163,0.01259303,0.038588453,6.99E-06,2.84E-05,0.000785442,1.86E-05,3.09E-08,0.01259303,9.54E-07,1.30E-10,1.29E-07,1.86E-05,0.002992864,0.026096891,0,0.001143105,0.001143105,0.038588453,3.88E-07,0.000331668
NY-NCG,0.026096891,0.000521134,0.028319671,1.29E-07,0.000642826,0.022034191,0.000642826,0.000331668,0.000331668,4.19E-05,0.000331668,0.106252372,0.066611882,0.080019376,0.100602632,0.026096891,0.022034191,0.022034191,1.29E-07,0.024003191,3.93E-06,0.030675895,0.035805997,0.255137752,0.041521494,0.062511483,0.070894318,3.93E-06,0.022034191,0.016831456,0.002586215,0.035805997,NA,0.00654349,0.016831456,0.062511483,3.93E-06,0.010245194,0.208063464,0.000152674,0.633090681,0.026096891,0.137657916,0.016831456,0.016831456,0.047855977,0.556737056,0.058589475,1.29E-07,0.059439375,3.88E-07,6.99E-06,0.080019376,0.001614769,0.003950449,0.010245194,0.016831456,6.99E-06,0.018452718,0.041521494,0.089913736,0.001363315,6.99E-06,3.09E-08,0.035805997,6.99E-06,0.001363315,3.88E-07,0.011374199,0.003950449
NY-SCH,3.93E-06,0.000521134,0.001143105,0.002992864,0.001363315,2.04E-06,0.000200713,0.000114134,0.00654349,0.00344645,0.000331668,0.002586215,8.37E-05,0.002586215,0.000785442,4.19E-05,3.88E-07,3.88E-07,0.008239769,9.54E-07,0.003950449,0.000418118,3.93E-06,0.018452718,1.17E-05,8.37E-05,0.000114134,0.003950449,1.29E-07,3.09E-08,0.000331668,2.04E-06,0.00654349,NA,3.09E-08,4.19E-05,0.004508435,1.17E-05,0.010245194,0.005124082,0.13094807,3.88E-07,0.002223135,0.000200713,3.09E-08,0.000951363,0.05484212,1.17E-05,0.010245194,0.003041093,0.001363315,0.00654349,8.37E-05,3.93E-06,2.84E-05,3.88E-07,3.09E-08,0.001900368,1.29E-07,6.99E-06,8.37E-05,1.29E-07,8.37E-05,0.003950449,2.04E-06,8.37E-05,6.00E-05,0.00580115,4.12E-09,6.99E-06
NY-TCR,4.12E-09,0.000521134,0.000521134,0.010245194,0.002223135,1.29E-07,0.000521134,0.000642826,0.00920178,0.007355029,0.000331668,0.001143105,2.04E-06,0.001900368,8.37E-05,1.17E-05,1.30E-10,1.30E-10,0.020185499,4.12E-09,0.00920178,0.000200713,3.09E-08,0.011374199,3.88E-07,3.93E-06,3.93E-06,0.00920178,1.30E-10,0,0.000521134,3.09E-08,0.016831456,3.09E-08,NA,2.04E-06,0.007355029,6.99E-06,0.010245194,0.007355029,0.159105769,1.29E-07,0.000642826,0.000200713,0,0.000642826,0.041521494,9.54E-07,0.026096891,0.000966981,0.00580115,0.016831456,6.99E-06,2.04E-06,0.000152674,1.29E-07,0,0.004508435,1.30E-10,9.54E-07,6.99E-06,9.54E-07,0.000785442,0.011374199,3.09E-08,0.000331668,0.000152674,0.016831456,1.30E-10,2.84E-05
OH-CRI,3.88E-07,0.004508435,0.000152674,0.041521494,0.00920178,1.29E-07,0.00580115,0.008239769,0.010245194,0.00920178,0.003950449,0.00344645,4.12E-09,0.00654349,1.29E-07,1.17E-05,1.29E-07,1.29E-07,0.075362335,3.09E-08,0.044609296,2.04E-06,3.09E-08,0.010245194,1.30E-10,3.09E-08,1.30E-10,0.044609296,6.99E-06,2.04E-06,0.007355029,3.93E-06,0.062511483,4.19E-05,2.04E-06,NA,0.018452718,0.000200713,0.024003191,0.008239769,0.255137752,6.99E-06,0.002223135,0.002586215,2.04E-06,0.005124082,0.058589475,1.86E-05,0.075362335,0.002090287,0.035805997,0.058589475,1.30E-10,0.000114134,0.003950449,8.37E-05,2.04E-06,0.026096891,9.54E-07,1.86E-05,1.29E-07,0.000418118,0.010245194,0.05484212,3.93E-06,0.00654349,0.000521134,0.066611882,1.86E-05,0.001143105
OH-CRM,0.00920178,0.000114134,0.002223135,6.99E-06,0.00344645,0.011374199,0.003950449,0.002992864,3.93E-06,9.54E-07,0.000642826,0.118175957,0.018452718,0.137657916,0.026096891,0.020185499,0.008239769,0.008239769,0.000259812,0.00920178,0.000152674,0.003950449,0.011374199,0.235621004,0.013905969,0.020185499,0.020185499,0.000152674,0.00920178,0.007355029,0.00920178,0.01259303,3.93E-06,0.004508435,0.007355029,0.018452718,NA,0.018452718,0.354147641,9.54E-07,1,0.011374199,0.144586301,0.038588453,0.007355029,0.095157367,0.64879571,0.028319671,0.000114134,0.039161355,4.19E-05,0.000642826,0.024003191,0.000259812,0.007355029,0.011374199,0.007355029,0.000331668,0.008239769,0.018452718,0.026096891,0.001614769,0.000200713,0.000114134,0.01259303,1.86E-05,0.001900368,0.000331668,0.008239769,0.01259303
OH-CRP,1.86E-05,0.001900368,0.01259303,0.00920178,0.000152674,2.04E-06,1.86E-05,8.37E-05,0.022034191,0.01259303,8.37E-05,0.000951363,0.000331668,0.000331668,0.001614769,6.99E-06,1.17E-05,1.17E-05,0.005124082,6.99E-06,0.003950449,0.002586215,8.37E-05,0.015317329,4.19E-05,0.000152674,0.000259812,0.003950449,4.19E-05,6.99E-06,8.37E-05,0.000200713,0.010245194,1.17E-05,6.99E-06,0.000200713,0.018452718,NA,0.002586215,0.015317329,0.070894318,8.37E-05,0.000418118,6.99E-06,6.99E-06,4.19E-05,0.030675895,0.000152674,0.010245194,0.002090287,0.003950449,0.003950449,0.000418118,0.000114134,0.000259812,3.09E-08,6.99E-06,0.000785442,3.93E-06,0.000331668,0.001143105,3.93E-06,0.000259812,0.00344645,0.000200713,0.000521134,2.84E-05,0.004508435,9.54E-07,3.09E-08
OH-EBR,0.008239769,0.047855977,0.151735036,0.159105769,0.00654349,0.011374199,0.002992864,0.00580115,0.226206045,0.275567451,0.020185499,6.99E-06,0.016831456,9.54E-07,0.066611882,0.00344645,0.011374199,0.011374199,0.080019376,0.01259303,0.062511483,0.112109291,0.015317329,0.000259812,0.018452718,0.018452718,0.018452718,0.062511483,0.01259303,0.010245194,0.000785442,0.016831456,0.208063464,0.010245194,0.010245194,0.024003191,0.354147641,0.002586215,NA,0.265238787,8.37E-05,0.00654349,1.86E-05,2.84E-05,0.010245194,3.93E-06,6.00E-05,0.00344645,0.112109291,0.004290027,0.095157367,0.041521494,0.030675895,0.033169901,0.000951363,0.005124082,0.010245194,0.044609296,0.011374199,0.018452718,0.033169901,0.01259303,0.05126559,0.084868771,0.016831456,0.095157367,0.016831456,0.062511483,0.008239769,0.001363315
